SA1_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
31003128416,39,1198,512,160,1028,0.7,794,2.4
31003128418,33,1300,578,300,1458,0.8,1199,2.5
31003128419,33,1300,701,280,1609,0.8,1222,2.5
31003128420,43,1250,630,303,1662,0.7,1555,2.7
31003128421,27,745,823,305,1437,0.7,1403,2.3
31003128422,39,1079,582,285,1125,0.7,1011,2.2
31003128423,29,1337,738,350,1687,0.8,1464,2.7
31003128424,38,1300,705,300,1642,0.7,1446,2.6
31003128425,36,1500,631,300,1649,0.8,1325,2.7
31003128426,28,1500,853,315,1611,0.8,1476,2.5
31003128427,31,1170,802,310,1625,0.7,1558,2.3
31003128501,40,1555,827,343,2319,0.7,1916,2.7
31003128502,43,1300,929,333,2521,0.7,2267,2.8
31003128503,39,1733,947,370,2614,0.7,2481,2.8
31003128504,31,1517,805,341,1845,0.8,1653,2.7
31003128505,33,1228,721,295,1833,0.8,1406,2.6
31003128506,35,1127,559,290,1242,0.8,1065,2.4
31003128507,30,1651,1095,260,2281,0.8,2177,3
31003128508,33,1517,791,348,1930,0.8,1758,2.9
31003128509,30,1200,625,300,1242,0.8,1134,2.7
31003128510,40,1686,711,320,1718,0.8,1597,2.8
31003128511,42,1517,804,340,1894,0.7,1692,2.6
31003128512,39,1300,951,363,2449,0.8,2416,2.8
31003128513,37,1498,971,340,2240,0.8,2104,2.8
31003128514,40,1342,566,295,1300,0.8,1199,2.5
31003128601,64,1800,477,210,866,0.9,588,1.6
31003128602,38,1509,590,270,1386,0.8,1133,2.4
31003128603,38,1200,762,330,1562,0.7,1307,2.3
31003128604,37,1330,710,300,1792,0.8,1468,2.5
31003128605,52,1092,534,230,1562,0.9,754,1.9
31003128606,43,1646,653,270,1775,0.8,1192,2
31003128607,42,1559,805,300,2374,0.7,1875,2.4
31003128608,50,1582,603,265,1983,0.8,1302,2.2
31003128609,31,0,150,0,0,0,150,0
31003128611,29,1352,560,300,1550,0.8,1216,2.1
31003128612,38,1404,656,315,2045,0.8,1583,2.6
31003128613,40,1450,922,298,2136,0.8,1798,2.4
31003128614,69,0,612,0,0,0,1249,0
31003128615,29,867,518,273,725,0.8,724,2.7
31003128616,42,1733,835,290,2143,0.8,1625,2.5
31003128617,38,1430,787,298,1833,0.8,1533,2.4
31003128618,42,1387,666,300,1625,0.7,1468,2.4
31003128619,39,1547,888,290,2083,0.7,1583,2.5
31003128620,40,1800,1017,328,2636,0.9,2474,3.1
31003128621,38,1565,875,320,2208,0.8,1920,2.7
31003128622,35,1300,402,178,1474,0.9,533,1.7
31003128701,40,1257,544,260,1237,0.8,856,1.7
31003128702,39,1301,630,265,1312,0.8,984,2
31003128703,41,1408,764,285,1812,0.8,1471,2.3
31003128704,48,1282,602,263,1516,0.8,1033,2.1
31003128705,45,1404,638,285,1764,0.8,1262,2.1
31003128706,40,1235,687,280,1420,0.7,1212,2.3
31003128707,43,1665,921,295,2611,0.8,2111,2.6
31003128708,38,1328,747,310,1805,0.8,1471,2.6
31003128709,38,1517,805,295,2305,0.9,1949,2.8
31003128710,41,1690,909,275,2356,0.8,1724,2.3
31003128711,41,1517,761,303,1850,0.8,1611,2.5
31003128712,46,1394,596,245,1821,0.8,1013,2.1
31003128713,37,1566,759,300,1906,0.8,1463,2.5
31003128714,47,1200,661,295,1404,0.7,1163,2.2
31003128715,44,1572,810,280,2152,0.7,1487,2.3
31003128716,38,1170,613,285,1562,0.8,1264,2.5
31003128717,32,1196,644,305,1424,0.8,1348,2.7
31003128718,32,1105,592,295,1163,0.7,1138,2.5
31003128719,36,1300,687,295,1728,0.8,1224,2.5
31003128720,25,1326,695,330,1431,0.9,1490,3.4
31003128721,37,1300,677,293,1578,0.8,1470,2.7
31003128722,37,1300,634,270,1458,0.8,1233,2.2
31003128723,41,1460,677,290,1645,0.7,1093,2.2
31003128724,32,1110,740,340,1487,0.8,1379,2.5
31003128725,35,1300,670,275,1515,0.8,1406,2.5
31003128726,37,1300,738,300,1735,0.8,1444,2.5
31003128727,37,1300,754,295,1553,0.8,1268,2.3
31003128728,39,1230,589,295,1284,0.7,1098,2.2
31003128729,39,1290,723,263,1758,0.8,1198,2.2
31003128730,35,1170,740,290,1611,0.8,1399,2.5
31003128731,37,1083,768,290,1708,0.7,1319,2.2
31003128732,38,1500,759,283,1781,0.8,1345,2.4
31003128733,44,1072,609,280,1555,0.7,945,1.8
31003128734,58,1328,616,300,1550,0.7,1029,2
31003128735,44,1280,605,300,1446,0.8,1191,2.3
31003128736,45,1509,731,302,2160,0.8,1724,2.6
31003128737,36,1300,646,290,1478,0.8,1114,2.5
31003128738,37,1404,876,300,2115,0.7,1670,2.3
31003128739,41,1725,794,300,2143,0.8,1589,2.3
31003128740,46,1365,580,278,1325,0.8,825,1.9
31003128741,40,1600,818,290,1946,0.8,1421,2.5
31003128742,52,1268,495,315,1593,0.8,1426,2.7
31003128743,39,1396,604,288,1674,0.7,1468,2.5
31003128744,40,1310,763,288,1778,0.7,1571,2.3
31003128745,46,1400,913,295,2250,0.7,1652,2.3
31003128746,46,1413,529,235,1375,0.9,752,1.9
31003128801,32,1733,961,310,2309,0.8,2060,2.7
31003128802,33,1733,902,375,2169,0.8,2015,3
31003128803,43,1913,977,508,3107,0.7,2899,2.9
31003128804,50,1950,1010,450,2633,0.7,2547,2.6
31003128805,40,2050,877,410,2571,0.7,2333,2.9
31003128806,35,1417,821,310,1958,0.8,1583,2.6
31003128807,43,2025,915,250,2531,0.8,2303,2.9
31003128808,49,2069,770,360,2194,0.8,1974,2.8
31003128809,38,2184,1045,320,2840,0.7,2654,3
31003128810,40,1950,990,425,2799,0.8,2812,3.2
31003128811,48,1733,787,410,2024,0.7,1671,2.7
31003128901,48,1798,777,478,1875,0.7,1916,2.7
31003128902,45,1733,845,425,2374,0.7,2276,2.9
31003128903,39,1733,884,425,2296,0.8,2166,2.9
31003128904,36,2278,1201,535,3433,0.8,3420,3.5
31003128905,42,2184,1012,600,3113,0.7,3091,3.1
31003128906,32,2223,1114,360,2742,0.8,2576,3
31003128907,33,2441,1181,450,2972,0.8,3036,3.4
