SA1_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
30101100101,48,1820,1003,423,2924,0.7,2725,3
30101100102,36,1950,939,420,2368,0.8,2250,2.9
30101100103,42,1950,809,355,2181,0.7,2059,2.8
30101100104,43,1950,921,480,2368,0.7,2187,2.7
30101100105,41,1733,587,220,1541,0.8,1170,2.5
30101100106,41,2109,859,470,2353,0.7,2225,2.9
30101100107,37,1750,754,408,2125,0.7,1687,2.8
30101100108,36,1863,834,398,2048,0.8,1910,2.7
30101100109,40,1933,712,400,1778,0.8,1733,2.8
30101100110,37,1822,757,400,2146,0.8,1924,3
30101100111,37,1700,882,420,2100,0.8,1823,2.6
30101100112,37,1738,777,383,1821,0.7,1488,2.6
30101100113,32,1733,739,405,2062,0.8,1916,3
30101100114,36,1800,767,420,1808,0.8,1881,2.7
30101100115,39,1625,778,300,1864,0.8,1762,2.7
30101100116,34,1809,690,350,1562,0.9,1255,2.4
30101100117,41,1783,747,380,1768,0.7,1375,2.5
30101100118,37,1810,865,388,2009,0.8,1875,2.8
30101100119,39,1842,795,415,2178,0.8,1812,2.9
30101100120,39,1668,747,415,1875,0.7,1649,2.6
30101100121,40,1992,847,400,2083,0.7,1949,2.7
30101100122,43,2083,1012,520,2609,0.7,2515,2.9
30101100123,41,1715,711,340,1958,0.8,1326,2.3
30101100124,37,1950,734,440,2028,0.8,1771,2.8
30101100125,35,1647,813,415,2038,0.8,1875,2.8
30101100126,36,1820,839,400,1974,0.8,1696,2.7
30101100127,32,1821,905,400,2083,0.8,1916,2.6
30101100128,35,1790,844,378,2016,0.9,1861,2.9
30101100129,36,1733,775,380,1899,0.7,1660,2.6
30101100130,54,1707,722,440,1910,0.8,1521,2.5
30101100131,39,1760,847,425,2187,0.7,2102,2.8
30101100132,35,1950,622,175,1416,0.8,1312,2.7
30101100133,37,1640,733,385,1781,0.8,1555,2.6
30101100134,37,1802,963,400,2276,0.7,1859,2.5
30101100135,40,1820,889,440,2013,0.7,1861,2.6
30101100136,35,1846,938,405,2206,0.8,2156,2.8
30101100137,34,1939,961,420,2096,0.8,1976,2.7
30101100138,33,1877,931,400,2083,0.8,1712,2.7
30101100139,37,1733,948,408,2166,0.8,1985,2.6
30101100140,38,1997,828,400,2125,0.8,1792,2.7
30101100141,42,1950,988,410,2382,0.7,2208,2.6
30101100142,47,2167,854,650,2403,0.7,2422,3
30101100143,0,0,0,0,0,0,0,0
30101100144,0,0,0,0,0,0,0,0
30101100145,41,2000,936,450,2265,0.7,1921,2.7
30101100201,46,3950,845,345,2833,0.8,2650,2.9
30101100202,45,4567,1037,368,3643,0.7,3541,3.2
30101100203,46,2400,844,310,2281,0.8,2549,3.3
30101100204,46,3500,808,450,2583,0.7,2480,3.1
30101100205,41,3500,1003,530,3250,0.8,3055,3.4
30101100206,41,2450,838,450,2859,0.9,2845,3.5
30101100207,48,3500,868,400,3125,0.8,3071,3.2
30101100208,44,2297,1076,598,3083,0.8,3062,3.2
30101100209,40,2207,982,415,3250,0.7,3125,3.4
30101100210,46,3850,1004,395,3208,0.8,3625,3.4
30101100211,54,0,887,10,2750,1.3,1699,2
30101100212,35,1733,987,440,2190,0.8,2134,2.5
30101100213,37,2167,929,500,2587,0.8,2521,3
30101100214,34,2184,1104,478,2550,0.8,2356,2.7
30101100215,43,2167,903,478,2312,0.7,1978,2.6
30101100216,43,1733,868,560,2750,0.7,2250,3
30101100217,45,1733,939,424,3249,0.7,2187,2.7
30101100218,41,2000,881,590,2853,0.8,2666,3.1
30101100219,36,2383,1076,650,3070,0.7,2849,3
30101100220,40,1950,894,197,2444,0.8,2134,2.8
30101100221,41,2343,1005,503,3020,0.7,2866,3
30101100301,51,3000,973,810,2937,0.6,2791,2.7
30101100302,44,1946,815,405,1926,0.7,1612,2.4
30101100303,62,1733,515,330,1050,0.7,781,1.9
30101100304,37,2238,709,395,2028,0.8,1976,3
30101100305,38,2167,889,490,2441,0.7,2250,2.8
30101100306,43,2167,921,543,2718,0.7,2607,2.9
30101100307,37,2184,991,495,2784,0.8,2652,3.1
30101100308,39,1910,915,460,2031,0.7,1921,2.8
30101100309,44,2000,981,515,2767,0.7,2678,3
30101100310,47,2600,897,548,2676,0.7,2517,3.1
30101100311,40,1950,771,425,2077,0.8,1875,2.8
30101100312,41,1907,806,470,2115,0.8,1803,2.7
30101100313,40,1950,842,455,2092,0.7,1949,2.7
30101100314,37,1868,912,450,2156,0.7,1908,2.7
30101100315,37,1929,728,450,2083,0.8,2125,3
30101100316,36,2080,943,500,2341,0.7,2239,3
30101100317,46,2167,853,465,2567,0.7,2077,2.6
30101100318,35,1989,905,450,2250,0.8,2181,3
30101100319,36,1733,856,415,1875,0.7,1550,2.4
30101100320,41,1944,740,429,2175,0.7,1784,2.7
30101100321,41,2000,795,490,2374,0.7,2180,2.9
30101100322,46,2020,883,498,2463,0.6,2266,2.6
30101100323,42,2167,826,488,2462,0.7,2250,2.9
30101100324,40,2177,990,470,2949,0.7,2736,3
30101100325,36,1899,833,400,2316,0.8,2189,2.9
30101100326,80,0,3125,0,7000,0.6,7000,3
30101100327,69,2500,425,106,2250,1,417,1.1
30101100328,79,1126,586,282,1047,0.8,758,1.5
30101100329,38,1950,958,420,2382,0.7,2042,2.5
30101100330,36,1876,812,450,2232,0.8,2015,2.9
30101100331,43,1961,1020,435,2687,0.7,2327,2.7
30101100332,79,1083,498,400,1125,0.7,736,1.6
30101100333,41,2000,779,448,1928,0.7,1958,2.8
30101100334,44,1907,725,350,2016,0.8,1266,2.2
30101100335,44,2283,905,680,2513,0.7,2289,2.8
30101100336,53,1929,830,490,2687,0.6,2250,2.5
30101100401,37,1733,876,420,1946,0.8,1928,2.7
30101100402,36,1733,913,465,2281,0.8,2207,2.9
30101100403,40,1516,776,303,1920,0.8,1058,1.9
30101100404,34,1517,702,360,1547,0.8,1228,2.4
30101100405,41,1735,771,428,1962,0.7,1713,2.5
30101100406,48,1760,720,316,1524,0.7,1354,2.3
30101100407,54,1652,490,345,1607,0.8,1279,2.1
30101100408,38,1337,732,345,1462,0.8,1184,2
30101100409,36,1804,679,408,1787,0.8,1447,2.5
30101100410,35,1842,790,423,2033,0.8,1857,2.8
30101100411,36,1724,884,360,1812,0.8,1437,2.3
30101100412,38,1943,882,460,2091,0.7,2070,2.7
30101100413,41,2167,822,450,2071,0.7,2011,2.8
30101100414,37,1822,680,365,1916,0.8,1562,2.6
30101100415,40,2053,813,478,2187,0.7,2042,2.9
30101100416,32,1944,972,478,2291,0.8,2276,3
30101100417,36,1950,981,510,2764,0.8,2656,3.2
30101100418,41,1993,756,345,1916,0.7,1890,2.8
30101100419,35,1714,803,395,1952,0.8,1862,2.9
30101100420,40,1820,871,420,2144,0.7,1807,2.4
30101100421,37,1733,860,420,2191,0.8,1802,2.6
30101100422,50,2000,779,664,2625,0.7,2449,2.8
30101100423,39,1799,758,370,2019,0.8,1589,2.7
30101100424,41,1842,744,420,1875,0.7,1764,2.6
30101100425,41,1975,1028,500,2733,0.7,2700,3
30101100426,53,2859,854,250,2482,0.8,1569,2.4
30101100428,40,2000,914,495,2449,0.7,2446,2.9
30101100429,38,1681,734,395,2028,0.8,1562,2.7
30101100430,46,2400,805,790,2631,0.7,2736,3.2
30101100431,48,2637,738,370,2522,0.7,2554,3.1
30101100432,50,2863,913,530,2600,0.8,2750,3
30101100433,38,1975,947,423,2531,0.7,2272,3
30101100434,40,1929,732,315,2105,0.8,1805,2.6
30101100435,37,1842,839,380,2019,0.8,1903,2.8
30101100436,39,1733,758,335,1892,0.8,1375,2.3
30101100437,56,0,1125,1038,0,0,1125,0
30101100439,42,1786,860,450,2339,0.7,2169,2.7
30101100440,43,1733,812,420,2184,0.7,1886,2.5
30101100441,51,1723,580,380,1786,0.8,1166,2.2
30101100442,33,1647,739,400,1819,0.8,1375,2.4
30101100443,38,1746,817,348,2140,0.8,1694,2.5
30101100444,48,1733,721,355,1792,0.7,1512,2.3
30101100445,36,1458,857,410,1553,0.8,1277,2
30101100446,49,1188,594,245,1402,0.8,866,1.5
30101100447,35,2167,1020,518,2428,0.8,2383,3.1
30101100448,33,2037,1030,520,2408,0.7,2370,2.9
30101100501,46,2297,879,450,2421,0.7,2273,2.6
30101100502,40,2051,1002,380,2113,0.8,1846,2.5
30101100503,45,2000,1047,428,2750,0.7,2296,2.7
30101100504,40,2167,862,400,2349,0.8,1971,2.8
30101100505,45,1950,731,395,1854,0.7,1375,2.4
30101100506,41,1300,850,340,1624,0.6,1075,1.7
30101100507,37,1217,892,370,1696,0.8,1322,2
30101100508,53,1924,592,300,1515,0.8,793,2
30101100509,35,1800,805,301,1937,0.8,1843,2.7
30101100510,36,1434,805,340,1568,0.7,1263,1.9
30101100601,47,2059,969,830,3017,0.7,2957,3
30101100602,45,1733,916,460,2143,0.7,2036,2.7
30101100603,40,1733,784,450,2222,0.8,2159,2.8
30101100604,49,2300,1033,420,2750,0.7,2408,2.6
30101100605,56,1733,762,410,1781,0.7,1363,2.1
30101100606,42,1871,894,410,2043,0.7,1684,2.5
30101100607,45,2029,843,400,2250,0.7,1514,2.4
30101100609,42,2250,943,540,2774,0.7,2595,3
30101100610,36,1907,927,438,2062,0.8,1952,2.8
30101100611,46,2167,829,430,2526,0.7,2053,2.6
30101100612,39,2000,1001,443,2321,0.8,2087,2.6
30101100613,47,2000,809,525,2484,0.7,2250,2.7
30101100614,43,2000,890,500,2666,0.7,2393,3
30101100615,35,2037,842,445,2086,0.8,1907,2.8
30101100616,42,1946,770,425,2220,0.8,2053,2.7
30101100617,37,2100,850,470,2366,0.8,2161,2.9
30101100618,43,2167,944,515,2902,0.8,2899,3.2
30101100619,44,2167,886,505,2399,0.7,2180,2.7
30101100620,40,2100,805,520,2949,0.7,2722,2.9
30101100621,44,2084,822,548,2691,0.7,2539,3.1
30101100622,47,2500,995,600,3520,0.7,3225,2.9
30101100623,41,1997,822,445,2542,0.7,2111,2.6
30101100625,45,2000,762,413,2162,0.7,1786,2.6
30101100626,0,0,0,0,0,0,0,0
30102100701,41,1800,784,410,1850,0.7,1462,2.5
30102100702,44,1950,764,465,1924,0.7,1765,2.8
30102100703,47,2150,749,475,2392,0.7,1902,2.7
30102100704,41,2000,791,485,2119,0.7,1916,2.8
30102100705,40,1937,803,455,2062,0.8,1640,2.7
30102100706,53,2167,668,540,2105,0.7,1239,2.4
30102100707,41,1781,765,438,1857,0.8,1480,2.7
30102100708,50,2037,731,460,2066,0.7,1536,2.5
30102100709,44,1982,881,430,2200,0.7,1946,2.6
30102100710,48,2167,793,448,2366,0.7,2196,2.8
30102100711,49,2000,682,490,2019,0.6,1490,2.5
30102100712,62,2259,796,495,2452,0.8,2338,3.1
30102100713,58,2000,656,380,2094,0.7,1713,2.7
30102100714,57,2167,683,490,2062,0.7,767,1.9
30102100715,47,1733,647,358,1708,0.8,1255,2.3
30102100717,47,1882,717,500,2055,0.7,1696,2.6
30102100718,48,2338,751,440,1924,0.7,1552,2.5
30102100719,53,2167,698,132,2050,0.8,1493,2.3
30102100720,47,1394,598,450,1468,0.7,1218,2.4
30102100721,49,2000,794,385,2222,0.7,1674,2.3
30102100722,60,2035,924,500,2033,0.7,1625,1.9
30102100723,50,4329,1101,1200,3374,0.6,3175,2.7
30102100724,51,3700,1157,795,3374,0.6,3405,2.7
30102100726,60,1517,577,350,1312,0.8,862,1.6
30102100727,54,1605,626,365,1363,0.7,1062,1.8
30102100728,0,0,0,0,0,0,0,0
30102100729,37,0,433,0,0,1,2250,1
30102100730,56,1551,569,360,1411,0.7,832,1.7
30102100731,49,1565,686,375,1455,0.7,1039,2
30102100732,53,2873,937,730,2750,0.6,2535,2.5
30102100733,55,3467,1116,925,3055,0.6,3094,2.7
30102100734,59,2800,877,575,2428,0.6,1771,2.1
30102100735,56,4333,1255,1100,3639,0.6,3374,2.6
30102100736,47,4400,1337,1200,4533,0.7,4515,3
30102100737,52,2167,744,535,2463,0.7,2399,2.8
30102100738,50,1625,730,360,1517,0.8,1076,1.9
30102100739,54,1950,522,318,1430,0.8,747,1.7
30102100740,53,1438,685,360,1542,0.7,941,1.7
30102100741,62,1668,762,440,1642,0.8,1428,2
30102100742,52,1677,818,398,1812,0.7,1286,1.8
30102100801,41,2000,938,430,2487,0.7,2184,2.8
30102100803,48,3033,1022,460,3360,0.7,2805,2.6
30102100804,40,2149,831,520,2139,0.8,2024,2.8
30102100805,43,2167,857,498,2380,0.7,2309,2.9
30102100806,48,2167,963,450,2638,0.7,2465,2.6
30102100808,40,1733,783,405,2070,0.7,1553,2.3
30102100809,47,2548,944,555,2859,0.7,2732,3
30102100811,49,2200,925,595,2765,0.7,2536,2.8
30102100812,52,2088,814,500,2198,0.7,1875,2.4
30102100813,85,407,476,140,833,0.8,608,1.3
30102100814,46,2167,792,589,2750,0.8,2659,3.2
30102100815,49,1477,684,375,1558,0.7,1153,2.1
30102100901,50,2000,745,465,2080,0.7,1854,2.5
30102100902,54,2000,810,465,2037,0.7,1887,2.5
30102100903,41,1733,691,390,2010,0.7,1347,2.3
30102100904,45,1733,651,400,1562,0.7,1294,2.3
30102100905,41,2167,731,450,1728,0.7,1676,2.7
30102100906,40,1854,762,405,1894,0.8,1531,2.5
30102100907,42,1997,952,468,2383,0.7,2296,2.8
30102100908,43,1733,748,400,2053,0.7,1833,2.6
30102100909,43,2134,907,450,2150,0.8,1968,2.9
30102100910,41,2167,675,450,1674,0.8,1666,3
30102100912,35,2037,793,480,2042,0.7,1930,3
30102100913,44,2492,840,550,2625,0.8,2553,3.2
30102100915,48,2530,864,590,2521,0.7,2522,3
30102100916,44,2167,915,490,2426,0.7,2338,3
30102100917,32,2145,985,475,2312,0.8,2181,2.9
30102100920,34,2167,887,488,2630,0.7,2565,3.2
30102100921,0,0,0,0,0,0,0,0
30102100922,40,1950,763,430,2106,0.8,1916,2.7
30102100923,48,2167,835,550,2474,0.7,2392,2.9
30102100924,43,2167,813,520,2374,0.7,2291,3.1
30102100925,44,2184,903,530,2394,0.7,2305,3
30102100926,35,2167,997,485,2467,0.8,2360,3.1
30102100927,54,1842,631,388,1875,0.7,1718,2.4
30102100929,34,1950,876,433,2075,0.8,1944,2.9
30102100930,33,1804,700,370,1708,0.8,1485,2.6
30102100931,0,0,0,0,0,0,0,0
30102100932,38,1975,768,500,2100,0.7,1952,2.8
30102100933,35,2167,974,530,2480,0.8,2600,3.4
30102100934,38,2167,845,500,2452,0.7,2426,3.1
30102100936,38,2000,788,430,1666,0.7,1452,2.5
30102100937,39,2370,832,475,2609,0.8,2666,3.5
30102100938,30,2010,1274,480,2632,0.8,2569,3.1
30102100939,35,2167,886,450,2239,0.7,2054,3
30102100940,35,2167,919,500,2144,0.7,2132,3
30102100941,31,2340,1075,485,2412,0.8,2401,3.1
30102100942,36,2167,815,490,1843,0.7,1625,2.3
30102100943,45,2118,758,513,2130,0.7,2070,2.6
30102100944,41,1950,827,475,2012,0.7,2130,2.9
30102100945,49,2383,900,500,2636,0.8,2333,2.9
30102100946,44,2980,550,270,2062,0.8,1937,3.4
30102101101,33,2115,1217,451,2736,0.8,2573,3.1
30102101102,45,2509,725,400,2062,0.8,2050,3.1
30102101103,54,3000,866,400,2524,0.8,2523,2.8
30102101105,48,2600,674,300,2295,0.7,2100,3
30102101106,47,3000,911,0,2431,0.8,2583,3.4
30102101107,50,2300,893,200,2750,0.7,2730,2.9
30102101108,45,2405,875,550,2656,0.8,2571,3.1
30102101109,44,2817,785,300,2536,0.8,3031,3.4
30102101110,37,2200,1156,675,3358,0.8,3364,3.5
30102101112,45,2383,788,340,2143,0.8,2374,3.1
30102101114,35,1950,966,508,2363,0.8,2330,3.2
30102101115,45,2600,1117,650,3269,0.7,3208,3.1
30102101116,33,1800,1064,465,2272,0.7,2140,2.7
30102101117,35,2032,1129,473,2676,0.8,2581,3.1
30102101118,35,1853,941,433,2483,0.8,2401,3
30102101119,34,2350,1042,498,2550,0.8,2562,3.3
30102101120,32,2167,1238,490,2767,0.8,2696,3.1
30102101121,32,2275,1290,490,3146,0.8,3125,3.4
30102101202,42,2383,634,364,1887,0.8,1892,3
30102101204,47,2480,909,565,2287,0.7,2291,2.9
30102101206,39,2210,941,530,2796,0.8,2750,3.4
30102101208,41,2810,1107,590,3250,0.7,3178,3.2
30102101209,41,2167,809,515,2388,0.7,2319,3.1
30102101210,36,1863,825,430,2098,0.8,2017,3
30102101211,42,2340,936,520,2725,0.7,2512,3
30102101212,42,2167,788,508,2583,0.7,2474,3.2
30102101213,47,2300,780,465,2208,0.7,2236,3
30102101214,40,1775,864,470,2312,0.7,2025,2.8
30102101215,36,2000,828,420,2015,0.8,1803,2.8
30102101216,35,2167,963,460,2384,0.8,2187,2.8
30102101217,44,2167,865,525,2604,0.7,2558,3
30102101218,38,1733,866,355,2583,0.8,1974,2.7
30102101219,37,2000,870,465,2250,0.8,2034,2.9
30102101220,34,1950,847,420,2281,0.7,2047,2.7
30102101221,41,1997,793,463,2134,0.8,2008,2.8
30102101222,45,3000,1059,733,3250,0.7,3437,3.3
30102101223,41,2167,931,620,2899,0.8,2874,3.3
30102101224,69,2450,477,235,1041,1,609,1.6
30102101227,33,2000,872,420,2067,0.8,1839,2.8
30102101228,34,1828,817,450,1968,0.8,1792,2.7
30102101229,38,1985,965,500,2408,0.7,2260,2.9
30102101230,40,2518,1053,565,3143,0.7,3053,3.2
30102101231,46,2197,987,518,2941,0.7,2826,3
30102101232,40,2167,862,478,2591,0.8,2374,3.2
30102101233,44,2383,985,550,2770,0.7,2519,2.9
30102101234,39,2278,890,450,2833,0.8,2750,3.3
30102101235,34,2100,986,540,2916,0.8,2583,3.3
30102101236,45,1975,891,500,2204,0.7,2075,2.8
30102101239,31,2167,1216,503,2600,0.7,2611,2.9
30102101240,30,2000,962,430,2064,0.7,1886,2.7
30102101241,28,2058,1048,500,2371,0.7,2348,3.1
30102101242,28,1733,898,410,1739,0.7,1589,2.3
30102101243,53,0,474,0,1625,1.5,1625,3
30102101244,83,520,461,132,877,0.7,653,1.4
30102101245,32,2167,897,480,2215,0.7,2027,2.8
30102101246,33,2400,1068,495,2750,0.7,2571,3.2
30102101247,33,2550,1082,500,2478,0.7,2542,3.3
30102101248,27,2210,972,473,2141,0.8,2106,2.8
30102101249,32,2308,1096,480,2571,0.8,2517,3.1
30102101250,31,2508,960,495,2537,0.8,2534,3.3
30102101251,30,2167,1087,460,2462,0.8,2388,3
30102101252,34,2240,1055,515,2661,0.8,2661,3.2
30102101301,45,1733,571,410,1687,0.7,1458,2.5
30102101302,38,1387,749,417,1476,0.7,1342,2.1
30102101303,53,2167,627,588,2205,0.7,2156,2.8
30102101304,43,2058,775,485,2050,0.7,1985,2.8
30102101305,78,1842,542,410,1120,0.7,864,1.6
30102101306,38,2167,882,493,2215,0.7,2113,2.9
30102101307,45,1970,710,472,2045,0.7,1861,2.8
30102101308,37,2128,771,460,2234,0.8,2078,3
30102101309,46,1842,665,350,1708,0.7,1359,2.5
30102101310,57,2184,742,520,1666,0.6,1571,2.5
30102101311,48,2145,888,480,2355,0.7,2177,2.7
30102101312,59,1842,637,490,1542,0.7,1345,2.3
30102101313,50,2000,764,425,2312,0.7,2100,2.6
30102101314,67,1625,584,380,1224,0.7,888,1.7
30102101315,51,1986,660,450,1625,0.7,1272,2.5
30102101316,74,1517,521,378,1199,0.8,663,1.6
30102101318,35,1815,913,475,2362,0.7,2250,2.9
30102101319,50,2037,763,525,2175,0.7,2025,2.7
30102101320,44,1871,647,485,1920,0.7,1724,2.8
30102101321,54,2069,711,560,2062,0.6,1625,2.6
30102101322,31,1965,851,480,2298,0.8,2191,3.3
30102101323,0,0,0,0,0,0,0,0
30102101324,44,2150,770,498,2108,0.7,1968,2.9
30102101325,45,1776,744,420,1937,0.7,1474,2.5
30102101326,45,1954,689,430,2117,0.7,1825,2.6
30102101327,44,1733,657,395,1875,0.7,1612,2.6
30102101329,41,1717,769,420,2166,0.7,1875,2.7
30102101330,44,1733,819,450,2187,0.7,1819,2.6
30102101331,40,2019,914,420,2281,0.7,1978,2.5
30102101332,51,1798,629,400,1531,0.7,1161,2.3
30102101333,44,1700,756,400,1875,0.7,1583,2.4
30102101334,49,1728,627,438,1712,0.7,1234,2.4
30102101335,54,2628,790,425,2027,0.7,1656,2.4
30102101336,83,1883,489,193,1041,0.7,624,1.5
30102101337,44,1767,683,440,1937,0.8,1797,2.8
30102101338,45,1857,710,435,1875,0.8,1774,2.9
30102101339,40,2000,774,425,1899,0.7,1674,2.7
30102155001,52,2080,850,400,1800,0.7,1571,2.2
30102155002,42,1692,645,294,1531,0.9,1178,2.5
30102155003,50,1500,632,280,1850,0.7,1337,2.2
30102155004,54,1833,989,430,1640,0.8,1662,2.1
30102155005,58,1755,522,368,1297,0.7,1042,2
30102155006,54,2584,1037,371,1791,0.7,1597,2
30102155007,45,1560,637,296,1410,0.8,970,2.2
30102155008,52,1679,718,171,1468,0.9,1292,2.1
30102155101,58,825,452,250,955,0.8,758,1.9
30102155102,0,0,0,0,0,0,0,0
30102155103,60,1213,438,280,956,0.8,852,2
30102155104,63,726,442,250,910,0.8,713,1.8
30102155105,60,997,445,265,894,0.8,793,2
30102155106,56,1040,415,250,765,0.7,686,1.9
30102155107,63,1100,448,260,971,0.7,756,1.9
30102155108,63,875,475,260,1152,0.8,900,1.8
30102155109,55,1009,467,230,959,0.7,697,1.7
30102155110,62,910,450,300,1008,0.7,773,1.9
30102155111,62,1000,465,270,1011,0.7,820,2
30102155112,62,1000,616,300,1354,0.7,1075,2
30102155113,59,834,443,260,882,0.7,733,1.9
30102155114,58,790,454,270,865,0.7,759,1.9
30102155115,63,1404,570,268,1292,0.6,944,1.8
30102155116,63,867,397,213,870,0.8,612,1.7
30102155117,65,700,442,245,878,0.7,769,1.7
30102155118,61,1200,490,300,1038,0.7,806,1.9
30102155119,60,971,484,255,1125,0.7,816,1.7
30102155120,61,907,459,250,900,0.8,703,1.7
30102155121,61,1083,456,270,956,0.8,807,1.9
30102155122,59,862,436,260,1025,0.7,687,1.8
30102155123,59,867,459,260,1057,0.8,737,1.9
30102155124,59,867,442,250,906,0.8,716,1.9
30102155125,58,758,455,250,960,0.7,765,1.8
30102155126,64,1100,478,270,986,0.7,841,1.9
30103101401,51,5850,1625,280,0,1.1,1958,1.4
30103101402,0,0,0,0,0,0,0,0
30103101501,37,2167,966,400,2374,0.8,2021,2.7
30103101502,38,2047,890,420,2650,0.8,1937,2.6
30103101503,38,2400,921,405,2374,0.8,2073,2.8
30103101504,48,1890,816,390,2312,0.8,1644,2.1
30103101505,45,2083,1292,595,3277,0.7,2886,2.6
30103101506,48,2600,1125,438,3281,0.7,3027,2.6
30103101507,82,456,472,109,900,0.7,496,1.2
30103101508,48,2184,858,418,2899,0.8,2636,3
30103101509,45,2500,1049,460,3343,0.8,3031,2.8
30103101510,47,2650,1050,490,3250,0.7,2874,2.7
30103101511,59,1425,847,231,2083,1,1260,1.5
30103101512,49,2063,988,375,2520,0.8,1739,2.1
30103101513,47,3409,1045,400,3333,0.7,2250,2.5
30103101514,39,2167,936,440,2550,0.8,2281,2.8
30103101515,41,2167,1058,470,2514,0.8,2299,2.8
30103101516,38,2046,912,400,2312,0.8,2107,2.4
30103101517,39,2080,935,440,2750,0.8,2299,2.8
30103101518,49,2167,913,405,2708,0.8,2285,2.5
30103101519,45,2383,890,410,2333,0.8,2111,2.6
30103101601,38,2208,1069,458,2734,0.7,2250,2.7
30103101602,41,2500,1065,640,3711,0.8,3538,3.4
30103101603,40,1733,884,405,2083,0.7,1699,2.6
30103101604,40,2100,889,520,2363,0.7,2174,2.8
30103101605,39,1950,1081,455,2432,0.8,2175,2.5
30103101606,41,1902,929,480,2392,0.7,2206,2.6
30103101607,43,1914,936,495,2452,0.7,2190,2.6
30103101608,50,2392,746,560,2285,0.7,2062,2.7
30103101609,39,2051,838,420,2125,0.8,1875,2.6
30103101610,38,2318,932,420,2302,0.8,1963,2.6
30103101611,39,2000,1087,430,2833,0.8,2578,2.7
30103101612,38,2112,1013,425,2442,0.9,2228,3
30103101613,40,2135,918,450,2470,0.8,2274,2.8
30103101614,39,1817,780,410,2187,0.7,1713,2.4
30103101615,39,1953,958,468,2341,0.8,2195,2.6
30103101616,38,2050,716,148,2143,0.9,1625,2.7
30103101617,43,2080,902,458,2258,0.8,2135,2.6
30103101618,39,2253,893,400,2578,0.8,2403,2.9
30103101619,38,2058,1003,420,2559,0.8,2240,2.7
30103101620,40,1863,935,440,2312,0.8,2146,2.8
30103101621,68,1709,599,430,2178,0.7,928,1.9
30103101622,42,2383,1054,438,2687,0.8,2212,2.5
30103101623,35,2000,972,413,2431,0.8,2141,2.9
30103101624,41,1950,710,350,2048,0.7,1728,2.8
30103101701,31,0,1687,1116,5500,0.9,1875,1.3
30103101702,37,2450,1321,670,3447,0.8,3488,3.2
30103101703,38,2300,1155,675,3349,0.7,3211,3.1
30103101704,39,1850,1205,550,3117,0.8,3028,2.8
30103101705,37,2000,1382,525,3020,0.8,2722,2.6
30103101706,36,2167,911,410,2303,0.7,1680,2.3
30103101708,34,2427,1113,420,2616,0.8,2416,2.6
30103101709,32,2266,958,450,2329,0.8,2260,2.8
30103101710,36,2095,974,453,2329,0.7,2161,2.5
30103101711,33,2200,1188,450,3019,0.8,2381,2.6
30103101712,35,1980,896,350,2216,0.8,1660,2.1
30103101713,30,1854,1159,440,2446,0.9,2422,2.3
30103101714,31,1700,1021,410,2176,0.8,1886,2
30103101801,39,1671,860,370,2013,0.8,1573,2.2
30103101802,38,2135,909,415,2420,0.8,2148,2.7
30103101803,40,1733,796,320,1843,0.9,1474,2.5
30103101804,32,2305,1026,420,2579,0.9,2465,3
30103101805,34,1729,1035,410,2333,0.7,1979,2.4
30103101806,34,2096,1020,430,2644,0.8,2285,2.8
30103101807,36,1733,961,450,2225,0.7,1961,2.5
30103101808,39,2000,1081,540,2799,0.7,2516,2.8
30103101809,39,1651,853,410,2021,0.8,1808,2.5
30103101810,46,1662,1056,405,2143,0.7,1865,2.3
30103101811,42,2203,987,503,2542,0.7,2397,2.7
30103101812,36,2351,1194,753,3656,0.8,3812,3.6
30103101813,42,2167,833,520,2516,0.7,1916,2.6
30103101814,36,2000,989,438,2446,0.8,2340,3
30103101815,61,1700,623,420,1607,0.7,964,1.8
30103101816,37,1613,1059,395,2264,0.7,1949,2.4
30103101817,37,1390,981,410,2019,0.7,1516,2.2
30103101818,35,2000,877,450,2333,0.8,2114,2.9
30103101819,35,1800,961,438,2219,0.7,2007,2.6
30103101820,38,1900,908,440,2125,0.7,1903,2.6
30103101821,45,0,1125,0,0,0,1125,0
30103101822,35,2167,1006,383,2444,0.8,2025,2.6
30103101823,64,0,1625,0,0,1,1625,1
30103101824,58,0,1125,0,2250,0.5,2250,2
30103101904,35,1798,1110,420,2472,0.7,2238,2.7
30103101905,39,2518,1275,680,4639,0.8,4449,3.4
30103101906,36,2167,1080,523,2597,0.7,2420,2.9
30103101908,35,2166,1048,520,2681,0.8,2550,3.1
30103101909,34,2167,1175,518,2730,0.8,2485,3.1
30103101910,34,2100,1066,535,2488,0.8,2405,3.1
30103101912,52,0,1125,520,0,1,1125,1
30103101913,39,2500,972,495,3277,0.8,2924,3.1
30103101914,37,2750,1437,655,3827,0.8,3843,3.5
30103101915,35,2750,1378,560,3525,0.8,3428,3.4
30103101916,38,2574,1168,628,3277,0.8,3276,3.2
30103101917,36,2150,1292,528,2859,0.8,2708,2.8
30103101918,33,2837,1539,595,3636,0.8,3573,3.5
30103101919,38,2300,1193,500,3133,0.8,2895,3
