route_id	service_id	trip_id	trip_headsign	direction_id	block_id	shape_id
196-3396	BT 23_24-35208	26581418-BT 23_24-35208	"New Farm, Mountford Rd"	0		1960035
130-3396	BT 23_24-35208	26581419-BT 23_24-35208	Queen Street station	0		1300006
140-3396	BT 23_24-35208	26581420-BT 23_24-35208	Queen Street station	0		1400017
100-3396	BT 23_24-35208	26581421-BT 23_24-35208	Queen Street station	0		1000009
599-3396	BT 23_24-35208	26581422-BT 23_24-35208	Chermside Interchange	0		5990014
111-3396	BT 23_24-35208	26581423-BT 23_24-35208	Eight Mile Plains station	1		1110007
120-3396	BT 23_24-35208	26581424-BT 23_24-35208	Queen Street station	0		1200005
204-3396	BT 23_24-35208	26581425-BT 23_24-35208	"Fortitude Valley, Warner St"	0		2040628
174-3396	BT 23_24-35208	26581426-BT 23_24-35208	"Fortitude Valley, Warner St"	0		1740008
150-3396	BT 23_24-35208	26581427-BT 23_24-35208	Queen Street station	0		1500016
61-3396	BT 23_24-35208	26581428-BT 23_24-35208	Coorparoo Junction	0		610016
370-3396	BT 23_24-35208	26581429-BT 23_24-35208	"City, Herschel St"	0		3700012
180-3396	BT 23_24-35208	26581430-BT 23_24-35208	Queen Street station	0		1800002
353-3396	BT 23_24-35208	26581431-BT 23_24-35208	Elizabeth Street Stop 87 near Edward St	0		3530042
330-3396	BT 23_24-35208	26581432-BT 23_24-35208	Cultural Centre station	0		3300027
444-3396	BT 23_24-35208	26581433-BT 23_24-35208	Queensland Theatre	0		4440024
335-3396	BT 23_24-35208	26581434-BT 23_24-35208	"City, Queen St"	0		3350008
333-3396	BT 23_24-35208	26581435-BT 23_24-35208	Chermside Interchange	1		3330020
222-3396	BT 23_24-35208	26581436-BT 23_24-35208	Carindale interchange	1		2220002
599-3396	BT 23_24-35208	26581437-BT 23_24-35208	Dean St	0		5990022
60-3396	BT 23_24-35208	26581438-BT 23_24-35208	Teneriffe Ferry	0		600061
60-3396	BT 23_24-35208	26581439-BT 23_24-35208	West End Ferry	1		600059
369-3396	BT 23_24-35208	26581440-BT 23_24-35208	Mitchelton station	1		3690003
111-3396	BT 23_24-35208	26581441-BT 23_24-35208	Roma Street station	0		1110008
222-3396	BT 23_24-35208	26581442-BT 23_24-35208	Roma Street station	0		2220003
199-3396	BT 23_24-35208	26581443-BT 23_24-35208	West End Ferry	1		1990021
199-3396	BT 23_24-35208	26581444-BT 23_24-35208	"Teneriffe, Commercial Rd"	0		1990020
61-3396	BT 23_24-35208	26581445-BT 23_24-35208	Ashgrove Village	1		610018
333-3396	BT 23_24-35208	26581446-BT 23_24-35208	Cultural Centre station	0		3330018
390-3396	BT 23_24-35208	26581447-BT 23_24-35208	"City, Queen St"	0		3900012
320-3396	BT 23_24-35208	26581448-BT 23_24-35208	"City, Edward St"	0		3200003
300-3396	BT 23_24-35208	26581449-BT 23_24-35208	Cultural Centre station	0		3000003
117-3396	BT 23_24-35208	26581450-BT 23_24-35208	"Acacia Ridge East, Mitchell St"	1		1170004
112-3396	BT 23_24-35208	26581451-BT 23_24-35208	"City, Eagle St at Riverside"	0		1120004
130-3396	BT 23_24-35208	26581452-BT 23_24-35208	Queen Street station	0		1300006
110-3396	BT 23_24-35208	26581453-BT 23_24-35208	Queen Street station	0		1100003
105-3396	BT 23_24-35208	26581454-BT 23_24-35208	"City, Eagle St at Riverside"	0		1050013
397-3396	BT 23_24-35208	26581455-BT 23_24-35208	Ferny Grove station	1		3970004
340-3396	BT 23_24-35208	26581456-BT 23_24-35208	Woolloongabba station	0		3400007
325-3396	BT 23_24-35208	26581457-BT 23_24-35208	"City, Queen St"	0		3250008
220-3396	BT 23_24-35208	26581458-BT 23_24-35208	Queen Street station	0		2200001
370-3396	BT 23_24-35208	26581459-BT 23_24-35208	Chermside Interchange	1		3700011
350-3396	BT 23_24-35208	26581460-BT 23_24-35208	"City, Queen St"	0		3500009
150-3396	BT 23_24-35208	26581461-BT 23_24-35208	Queen Street station	0		1500016
196-3396	BT 23_24-35208	26581462-BT 23_24-35208	Fairfield Gardens	1		1960034
125-3396	BT 23_24-35208	26581463-BT 23_24-35208	"Fortitude Valley, Ballow St"	0		1250014
