,o_lat,o_lon,frequency,Median_age_persons,Med_mort_repaymnt_monthly,Median_rent_weekly,Med_tot_hh_incom_weekly,Average_household_size,quantity_class
75,-27.471313,153.023804,571.0,38.0,2217.0,540.0,2033.0,2.0,High
76,-27.469048,153.021597,924.0,38.0,2217.0,540.0,2033.0,2.0,High
77,-27.468909,153.021461,257.0,38.0,2217.0,540.0,2033.0,2.0,High
78,-27.466533,153.018427,1117.0,31.0,1343.0,358.0,1305.0,1.6,High
79,-27.466361,153.017761,257.0,31.0,1343.0,358.0,1305.0,1.6,High
80,-27.474254,153.026861,279.0,40.0,2950.0,500.0,2374.0,1.8,High
81,-27.466288,153.017988,866.0,40.0,0.0,0.0,362.0,0.0,High
82,-27.46638,153.018346,731.0,40.0,0.0,0.0,362.0,0.0,Medium
83,-27.46806,153.021942,380.0,38.0,2217.0,540.0,2033.0,2.0,High
84,-27.463285,153.020934,316.0,34.0,1630.0,355.0,1476.0,1.9,Very Low
85,-27.46456,153.021096,316.0,34.0,1630.0,355.0,1476.0,1.9,Very Low
86,-27.465352,153.022451,316.0,33.0,1697.0,425.0,2076.0,2.1,Very Low
87,-27.465598,153.02333,316.0,33.0,1697.0,425.0,2076.0,2.1,Very Low
88,-27.46439,153.024786,458.0,33.0,1697.0,425.0,2076.0,2.1,High
89,-27.46799,153.023155,1081.0,26.0,0.0,2500.0,350.0,0.0,High
90,-27.471367,153.023856,138.0,38.0,2217.0,540.0,2033.0,2.0,High
91,-27.464571,153.025,199.0,33.0,1517.0,428.0,1659.0,1.8,Low
92,-27.466432,153.0252,1128.0,26.0,0.0,2500.0,350.0,0.0,High
93,-27.46875,153.027433,684.0,29.0,1708.0,420.0,1481.0,1.8,High
94,-27.470079,153.028731,102.0,29.0,1708.0,420.0,1481.0,1.8,High
95,-27.471063,153.029713,171.0,37.0,2084.0,403.0,1759.0,1.6,Very Low
96,-27.467314,153.028827,396.0,29.0,1708.0,420.0,1481.0,1.8,High
97,-27.466622,153.028153,138.0,33.0,1950.0,340.0,1125.0,1.4,High
98,-27.467282,153.030039,555.0,26.0,1625.0,380.0,2015.0,1.6,High
99,-27.468972,153.030123,384.0,29.0,1708.0,420.0,1481.0,1.8,High
100,-27.464472,153.028981,1162.0,26.0,1625.0,380.0,2015.0,1.6,Low
101,-27.464278,153.027881,90.0,33.0,1517.0,428.0,1659.0,1.8,Medium
102,-27.464418,153.027851,1889.0,26.0,0.0,2500.0,350.0,0.0,High
103,-27.464235,153.028052,6.0,33.0,1517.0,428.0,1659.0,1.8,Very Low
104,-27.463881,153.028415,346.0,33.0,1517.0,428.0,1659.0,1.8,High
105,-27.462033,153.026618,289.0,33.0,1517.0,428.0,1659.0,1.8,High
106,-27.46256,153.025751,63.0,33.0,1517.0,428.0,1659.0,1.8,Medium
107,-27.462436,153.025755,54.0,31.0,1430.0,435.0,2351.0,2.3,Medium
108,-27.463233,153.027985,282.0,34.0,1500.0,400.0,1798.0,1.8,High
109,-27.462755,153.027323,283.0,33.0,1517.0,428.0,1659.0,1.8,Medium
110,-27.465168,153.029863,171.0,31.0,1916.0,545.0,2250.0,1.8,Low
111,-27.472795,153.026454,21.0,24.0,1700.0,398.0,1146.0,1.6,High
112,-27.460331,153.020511,383.0,33.0,1697.0,380.0,1671.0,1.8,Medium
113,-27.462351,153.024115,383.0,33.0,1329.0,400.0,1769.0,1.8,Medium
114,-27.46072,153.023158,383.0,33.0,1329.0,400.0,1769.0,1.8,Medium
115,-27.46048,153.023523,66.0,31.0,1800.0,450.0,1931.0,2.0,Medium
116,-27.459943,153.024836,57.0,31.0,2059.0,403.0,1880.0,2.1,Medium
117,-27.457263,153.033586,800.0,42.0,1368.0,360.0,1329.0,1.6,High
118,-27.457179,153.034928,698.0,30.0,1777.0,470.0,1726.0,1.8,Very Low
119,-27.457364,153.03517,667.0,30.0,1777.0,470.0,1726.0,1.8,High
120,-27.457683,153.035583,497.0,30.0,1777.0,470.0,1726.0,1.8,High
121,-27.457009,153.03603,620.0,30.0,1777.0,470.0,1726.0,1.8,High
122,-27.458718,153.035426,497.0,31.0,1455.0,460.0,2102.0,1.8,High
123,-27.458815,153.035336,369.0,39.0,2410.0,398.0,1640.0,1.6,High
124,-27.457063,153.033119,650.0,42.0,1368.0,360.0,1329.0,1.6,High
125,-27.456601,153.032534,423.0,42.0,1368.0,360.0,1329.0,1.6,High
126,-27.459536,153.033999,2384.0,39.0,2410.0,398.0,1640.0,1.6,High
127,-27.460404,153.032984,537.0,33.0,1300.0,380.0,1753.0,1.9,High
128,-27.460299,153.033278,800.0,39.0,2410.0,398.0,1640.0,1.6,High
129,-27.460488,153.033089,975.0,39.0,2410.0,398.0,1640.0,1.6,High
130,-27.461433,153.032171,1106.0,39.0,2410.0,398.0,1640.0,1.6,High
131,-27.459064,153.032009,1037.0,42.0,1368.0,360.0,1329.0,1.6,High
132,-27.460223,153.031708,837.0,42.0,1368.0,360.0,1329.0,1.6,High
133,-27.459415,153.031788,2439.0,42.0,1368.0,360.0,1329.0,1.6,High
134,-27.45714,153.033874,1112.0,42.0,1368.0,360.0,1329.0,1.6,High
135,-27.456755,153.034261,1303.0,42.0,1368.0,360.0,1329.0,1.6,High
136,-27.459558,153.031559,422.0,42.0,1368.0,360.0,1329.0,1.6,Medium
137,-27.455115,153.032403,241.0,31.0,1733.0,425.0,1927.0,1.8,High
138,-27.460562,153.027245,228.0,30.0,1600.0,400.0,1933.0,2.1,High
139,-27.460442,153.027175,283.0,31.0,2059.0,403.0,1880.0,2.1,High
140,-27.458408,153.029376,228.0,42.0,1368.0,360.0,1329.0,1.6,High
141,-27.458932,153.028663,283.0,35.0,3043.0,418.0,2125.0,2.2,High
142,-27.454731,153.03297,225.0,28.0,1625.0,375.0,1218.0,1.4,High
143,-27.446439,153.042693,506.0,31.0,2442.0,550.0,2710.0,1.9,High
144,-27.449131,153.04268,506.0,31.0,2084.0,600.0,3144.0,1.7,High
145,-27.451175,153.039955,555.0,34.0,3017.0,380.0,2013.0,1.9,High
146,-27.448094,153.042407,555.0,37.0,1800.0,425.0,2172.0,2.0,High
147,-27.446403,153.04237,555.0,33.0,2167.0,395.0,1802.0,1.8,High
148,-27.443906,153.043474,276.0,34.0,0.0,335.0,537.0,1.3,High
149,-27.443348,153.038671,294.0,34.0,0.0,335.0,537.0,1.3,High
150,-27.439241,153.040635,225.0,34.0,0.0,335.0,537.0,1.3,Medium
151,-27.439843,153.039686,241.0,34.0,0.0,335.0,537.0,1.3,Low
152,-27.419591,152.994496,65.0,38.0,2058.0,420.0,1958.0,2.6,Very Low
153,-27.419364,152.993703,71.0,38.0,2058.0,420.0,1958.0,2.6,Very Low
154,-27.452674,153.035057,225.0,36.0,1419.0,350.0,958.0,1.3,High
155,-27.452627,153.034882,241.0,31.0,1949.0,420.0,1802.0,1.7,High
156,-27.446972,153.038018,225.0,33.0,2167.0,395.0,1802.0,1.8,High
157,-27.474943,153.003194,2126.0,29.0,1663.0,370.0,1800.0,1.8,High
158,-27.475273,153.00324,2052.0,29.0,1663.0,370.0,1800.0,1.8,High
159,-27.473388,153.004757,498.0,29.0,1663.0,370.0,1800.0,1.8,High
160,-27.472072,153.00644,2186.0,37.0,2140.0,480.0,2241.0,1.7,High
161,-27.471125,153.007921,2052.0,37.0,2140.0,480.0,2241.0,1.7,High
162,-27.469223,153.00984,1108.0,29.0,1790.0,500.0,2059.0,1.9,High
163,-27.467867,153.024196,45.0,33.0,1950.0,340.0,1125.0,1.4,High
164,-27.426833,153.027047,132.0,37.0,3000.0,390.0,3225.0,2.9,Very Low
165,-27.426563,153.027354,132.0,37.0,3000.0,390.0,3225.0,2.9,High
166,-27.427074,153.024813,132.0,36.0,3030.0,490.0,3103.0,2.9,Very Low
